"Date Wise Prices for Specified Commodity on January, 2024 for Commodity : Tomato, State : Andhra Pradesh"
"Commodity : Tomato, State : Andhra Pradesh"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Kalikiri APMC
01/01/2024,9.4,Local,1000.0,2000.0,1500.0
02/01/2024,7.0,Local,1000.0,2300.0,1700.0
03/01/2024,8.3,Local,1200.0,2660.0,2000.0
04/01/2024,8.2,Local,900.0,2000.0,1600.0
05/01/2024,7.0,Local,1000.0,2300.0,1700.0
07/01/2024,9.0,Local,1000.0,2300.0,1700.0
08/01/2024,15.1,Local,1000.0,2300.0,1700.0
09/01/2024,2.6,Local,1000.0,2330.0,1700.0
10/01/2024,2.6,Local,1000.0,2330.0,1700.0
11/01/2024,8.3,Local,1000.0,2100.0,1660.0
12/01/2024,8.0,Local,1000.0,2300.0,1700.0
15/01/2024,8.3,Local,900.0,2000.0,1600.0
18/01/2024,2.4,Local,1000.0,2000.0,1500.0
19/01/2024,8.1,Local,960.0,2000.0,1600.0
21/01/2024,9.6,Local,900.0,2000.0,1600.0
22/01/2024,8.3,Local,-,1600.0,1260.0
23/01/2024,6.3,Local,800.0,1800.0,1200.0
24/01/2024,6.8,Local,1000.0,2200.0,1600.0
25/01/2024,5.0,Local,1000.0,2200.0,1600.0
26/01/2024,9.9,Local,1000.0,2200.0,1600.0
27/01/2024,9.9,Local,1000.0,2200.0,1600.0
28/01/2024,8.1,Local,1000.0,2400.0,1800.0
29/01/2024,9.6,Local,1000.0,2200.0,1600.0
30/01/2024,4.5,Local,1000.0,2200.0,1600.0
31/01/2024,7.1,Local,1000.0,2200.0,1600.0
Market Name : Madanapalli APMC
01/01/2024,134.0,Local,2100.0,2800.0,2600.0
,,Other,1100.0,2000.0,1800.0
02/01/2024,106.0,Other,2000.0,2680.0,2500.0
,,Local,2800.0,3400.0,3200.0
03/01/2024,113.0,Local,1900.0,2600.0,2300.0
,,Other,1000.0,1860.0,1560.0
04/01/2024,125.0,Other,1000.0,1780.0,1500.0
,,Local,1800.0,2400.0,2200.0
05/01/2024,148.0,Local,1800.0,2400.0,2200.0
,,Other,1000.0,1780.0,1500.0
06/01/2024,118.0,Local,1800.0,2400.0,2200.0
,,Other,1000.0,1780.0,1500.0
08/01/2024,105.0,Local,1000.0,2400.0,1800.0
09/01/2024,101.0,Local,1000.0,2800.0,2450.0
10/01/2024,123.0,Local,1000.0,2540.0,2400.0
17/01/2024,96.0,Local,1240.0,2400.0,2400.0
19/01/2024,151.0,Local,1000.0,2600.0,1000.0
20/01/2024,124.0,Local,1100.0,2600.0,1200.0
21/01/2024,132.0,Local,1000.0,2600.0,1100.0
23/01/2024,128.0,Local,1000.0,2600.0,1200.0
24/01/2024,123.0,Local,1000.0,2600.0,1900.0
25/01/2024,142.0,Local,1000.0,2600.0,1000.0
26/01/2024,159.0,Local,1000.0,2600.0,1900.0
27/01/2024,166.0,Local,1000.0,2600.0,1900.0
28/01/2024,197.0,Local,1000.0,2600.0,1500.0
31/01/2024,189.0,Local,1000.0,2600.0,1900.0
Market Name : Palamaner APMC
01/01/2024,53.45,Hybrid,1200.0,2800.0,2200.0
Market Name : Pattikonda APMC
01/01/2024,0.1,Local,1300.0,1700.0,1500.0
02/01/2024,0.1,Local,1300.0,1700.0,1500.0
03/01/2024,0.1,Local,1300.0,1700.0,1400.0
04/01/2024,0.1,Local,1300.0,1700.0,1500.0
05/01/2024,0.1,Local,1400.0,1800.0,1500.0
06/01/2024,0.1,Local,1400.0,1800.0,1500.0
07/01/2024,0.1,Local,1400.0,1800.0,1500.0
08/01/2024,0.1,Local,1400.0,1700.0,1500.0
09/01/2024,0.1,Local,1400.0,1800.0,1600.0
10/01/2024,0.1,Local,1000.0,1700.0,1400.0
11/01/2024,0.1,Local,1400.0,1800.0,1700.0
12/01/2024,0.1,Local,1000.0,1600.0,1400.0
16/01/2024,0.1,Local,1000.0,1600.0,1400.0
17/01/2024,0.1,Local,1000.0,1600.0,1400.0
18/01/2024,0.1,Local,1100.0,1600.0,1300.0
19/01/2024,0.1,Local,1000.0,1600.0,1400.0
20/01/2024,0.1,Local,1000.0,1600.0,1400.0
21/01/2024,0.1,Local,1000.0,1600.0,1400.0
22/01/2024,0.1,Local,1000.0,1600.0,1400.0
23/01/2024,0.1,Local,1000.0,1600.0,1400.0
24/01/2024,0.1,Local,1000.0,1600.0,1300.0
25/01/2024,0.1,Local,1000.0,1600.0,1400.0
26/01/2024,0.1,Local,1200.0,1600.0,1400.0
27/01/2024,0.1,Local,1000.0,1600.0,1400.0
28/01/2024,0.1,Local,1000.0,1600.0,1400.0
29/01/2024,0.1,Local,1000.0,1600.0,1400.0
30/01/2024,0.1,Local,1200.0,2000.0,1600.0
31/01/2024,0.1,Local,1400.0,2000.0,1600.0
Market Name : Vayalapadu APMC
03/01/2024,31.65,Local,840.0,3200.0,2040.0
04/01/2024,31.2,Local,800.0,2400.0,1600.0
05/01/2024,32.05,Local,720.0,2200.0,1440.0
06/01/2024,32.48,Local,760.0,2200.0,1480.0
07/01/2024,18.25,Local,760.0,2400.0,1560.0
08/01/2024,31.93,Local,800.0,2400.0,1600.0
09/01/2024,29.4,Local,760.0,2400.0,1520.0
10/01/2024,29.88,Local,800.0,2600.0,1720.0
11/01/2024,29.6,Local,800.0,2400.0,1600.0
